Abate,"subside , or moderate","            rebate means discount... i.e reducing the price..abate and rebate are rhyming words            ",            (Tag : ) abate which is rhyming with debate.Debate means raising(actually in discussion imagine that in every thing) just opposite to debate consider abate that is reduction in nature            ,Powered by Mnemonic Dictionary            ab ate mat karo abate your weight            
Pervasive,spread throughout,"            look the word carefully..PERVASI+VE....and doesn't it sound like PRAVASI BHARTIYA DIVAS.....an initiative by the Indian government to attract NON RESIDENT INDIANS who are SPREAD WIDELY ACROSS THE WORLD........             ",            perva(means festival in hindi) festivals are spread thorughout            ,"            sounds like persuasive, if u are persuasive youre ideas will be pervasive            "
Phlegmatic,calm; not easily disturbed,            phlegmatic -> plleg (flag) when we hoist a FLAG we have the AUTOMATIC reaction be calm and unexcited.            ,            Sounds like PRAGMATIC(practical) --> practical people think with logic and show little emotion.            ,            If u have lots of phlegm due to cold then u would unresponsive or impassive due to tiredness.            
Piety,devoutness; reverence for God,Powered by Mnemonic Dictionary            Pie+tea if we get a pie and a tea when we are hungry we thank god and devout to him. Or else when we need them we devout to god...            ,            piety for the deity(god)            ,            paita(piety)means saree in telugu..when u go 2 temple so ladies cover with paita(piety) ;)            
Placate,pacify; conciliate,            PL + ac + ATE = a PLATE full of tasty food to SATISFY someone.            ,"            ""playing"" wid ""cat""...it'll surely pacify salman...            ",
Plethora,excess; overabundance,"            like if you go  home after many days, your mother will insist that you eat more. What she will say is ""Pe Le + Thoda Aur Le""ultimately, aisai lene se, it will become an excess at the end. You will be full :)            ","            PleTHORA~(Play thoda),but child resist that he will play more and more and more,thus excessive.            ","Powered by Mnemonic Dictionary            Sounds like ""Please throw a""...Can we PLEASE THROW A party? We have an overabundance of food that we need to get rid of before it goes bad.            "
Plummet,fall sharply,"            plummet rhymes with ""comet"" which falls so sharply.            ",Powered by Mnemonic Dictionary            Plummet sounds like Planet (something very very heavy) .. a heavy thing will fall or drop sharply.            ,            it can be plum+met. as we seen earlier plum(b)=vertical. plummet can be MET the VERTICLE extreme limit(lower).i.e. it fell.            
Pragmatic,"practical (as opposed to idealistic); concerned with thepractical worth or impact of something",            PRA + gma + TIC    =    PRA + c + TIC + al            ,"            Relate it to ""PREGNANT-ISM"" In order to make a girl pregnant you need to PRACTICALLY do something...by only talking theoretically you can't make her pregnant...            ",            Sounds like problematic. In such a situation you should be concerned with what is practically reasonable and logical            
Preamble,introductory statement,"            PRE(before) + AM (i) + BOL(tell): in a meeting political leaders will say: what I want to say before I start my lecture is bla bla bla. All this will take 1 hour. :)  . This is what preamble is.            ","            Pre(Before) + amble(moving)...i.e. A speaker before heading to main topic,starts with an  INTRODUCTORY  STATEMENT and then elaborates the topic.            ",            amble means to walk preamble before walk information            
Precarious,uncertain; risky,            PRE+CARE+IOUS -> We have to take CARE while doing something risky so that it does not go wrong. ..            ,"Powered by Mnemonic Dictionary            what we do before starting something unsafe or risky,we say our prayers.so: PRAY + KARI = precarious            ",            Precarious-sounds ilke please carry Us..but thats very risky            
Precursor,forerunner,"            ""precursor"" = pre(before) + cursor(that points out) == something that points out in advance == forerunner :)            ","            She PREpared him for the CURSORy scene he was about to witness, serving as a PRECURSOR.            ",Powered by Mnemonic Dictionary            cursor is at the place while precursor is before so to tell fortune            
Presumptuous,arrogant; taking liberties,"            Focus on ""Presum"" (Presume)--> To overstep your boundaries by boldly PRESUMing/assuming something.            ",Powered by Mnemonic Dictionary,"            Consider the word in bracket only :pre(sum )ptuousWe can relate sum with Money or hafta vasooli. The ppl doing hafta vasooli are ARROGANT and taking LIBERTY of our silence             "
Prevaricate,lie,"            divide is as pre(..before)+var(truth..)+icate(..gate) ..i.e. before truth, you have kept a gate. Hence you are LYING or HIDING THE TRUTH..            ","Powered by Mnemonic Dictionary            pre+var(truth)+cate(fabricate) is to fabricate the truth, meaning to lie.            ",            pre(before)varicate(varying) i.e varying the truth b4 bcomz a lie            
Pristine,characteristic of earlier times; primitive; unspoiled,            sounds like priest(ine) means pertaining to priests which is to remain in pure state.            ,"            pristine; fresh teen,a virgin!!!            ","            pri(pre)+tine(time) ""purana zamana""....so characteristics of earlier times..            "
Probity,uprightness; incorruptibility,            PRO(pahle)+beti(ladkiya) sounds like girls first 'something having high morale'            ,            Probe is done to  verify probity.So probity=neccessity (or reason ) for probe.            ,            basically this word is taken from latin probus..means honesty..............            
Prodigal,wasteful; reckless with money,"Powered by Mnemonic Dictionary             prod(rodies) +gals(girls)=extravagance.If you are with girls of rodies then you have to be extravagant..            ","            prodigal = prodi (proud )+ gal (girl)= the girls who is having excessive proud is always wastefulor divide prodigal as PRO+DI+GAL, => PRODUCERS and DIRECTORS r using gals for sex.it means they are PROFLIGATE.            ",            PRO with GAL: to become a pro (casanova) among gals you will have to waste money            
Profound,deep; not superficial; complete,            whatever professional or researchers found(read find) has to be deep.            ,            PROFessors u FOUND will have profound(deep) knowledge            ,"Powered by Mnemonic Dictionary            profound seems like purana funda and purana funde have depth meaning            "
Proliferate,grow rapidly; spread; multiply,            life rate=its always increasing            ,"            PRO+LIFE+RATE-->promote life rate            ",            pro + life + rate : increase in rate of production (pro) of life (living organisms) causes population to increase rapidly            
Propensity,natural inclination,"            now a days people are inclined towards ""CITY"" dats y thery r migrating from villages....            ",            prop + city = people get propelled towards city only because of strong inclination towards city life             ,            (PRO+PEN)a PRO has a natural tendancy to hold the PEN in the way he can do caligarphy(art of good writing)            
Propitiate,appease,            PROf+PITI- if you want professor's pity then you would have to appease him/her.            ,            propiti + ate .. propiti sounds very close to property.. + ate .. so just imagine if you elder brother ate (here it means encroach) all your property ....you will quarrel with him... your father will try to appease or pacify you.            ,"            ""prop""(prophet) + ""itiate""(initiate) initiate the work of a prophet/priest..i.e maiking peace.            "
Propriety,fitness; correct conduct,            divide the word as propr+iety ..propr(sounds like PROPER)..hence it refers to being PROPER or CORRECT IN CONDUCT..            ,            PROPER + APPROPRIATE = PROPRIETY            ,            propriety            
Proscribe,ostracize; banish; outlaw,"            When you want a magazine, you PREscribe(subscribe) it. Similarly when you want to stop it, you will have to PROSCRIBE.SO PROSCRIBE = prohibit            ",            A doctor Prescribes medicines and Proscribes unhealthy food...            ,            it can be written like this  pro means before + scribe means to write .SO A WRITER WHOSE WRITING ARE PROHIBITED TO BE PUBLISHED in that country.            
Pungent,stinging; sharp in taste or smell; caustic,Powered by Mnemonic Dictionary            remember pug dog of vodafone. It's very stingy.            ,            pun + (negli)gent : As you know punning means playing with words. So if we pun negligently on others it may hurt/wound them.            ,"            pun-punch+agent ,punch a agent he is strong and sharp            "
Qualified,limited; restricted,"            Primary meaning qualified :above a given standard(quality)Secondary meaning:limited in quality(just the opposite)            ","            even though I was a QUALIFIED engineer, I was RESTRICTED from attending the conference.            ",            though i was QUALIFIED for the job but was RESTRICTED from getting the job because of my drop years            
Quibble,minor objection or complaint,"            mnemonic in hindi.. read it as qui(kyun)+bble(bill)..KYUN BILL ITNA ZYADA HAI?, you OBJECT to reading of meter & COMPLAIN to the authorities..            ","Powered by Mnemonic Dictionary            Query + babble (minor objection/murmuring).            ","            Remember, the magazine by Luna LoveGod's father - ""The quibbler"", it was called so because it carried petty criticism of people.            "
Quiescent,at rest; dormant; temporarily inactive,            quiescent => quies ~ quiet = motionless            ,            quies(QUITE)+scent(in hindi shant means quite)..so someone who is quite or shant for a period of time.            ,"Powered by Mnemonic Dictionary            quiz + cent, teacher asks students who will get cent(100) in the quiz...everyone reamains silent for sometime            "
Rarefied,made less dense (of a gas),"            rare(,,very less)+fied(..like field which means environment), hence environment where GAS is VERY LESS DENSE..            ","Powered by Mnemonic Dictionary            rarefied is a past tense of rarefy. And, rarefy = rare+fy(to make), i.e. to make something rare, or less dense... :)            ",            rarefied meaning is to make refine or pure so rarefied-ra+refined= rarefined            
Recalcitrant,obstinately stubborn; determined to resist authority; unruly,"            re+calcit(looks like calcite)+rant...as we know calcite is a hard  mineral found in calcium carbonate which forms the major part of rocks, chalk and marble, is hard to break and likewise a recalcitrant person is also stubborn.            ",            re+calci(calculator->calculate)+trant....so imagine a person who has made a mistake in calculations using a calci and is unwilling to re-calculate...it shows he is STUBBORN            ,"Powered by Mnemonic Dictionary            recalcitant : recall+reluctant..boss asked me to call ad guy again but i didn't obey him,i was reluctant.(unwilling to obey)            "
Recant,"disclaim or disavow; retract a previous statement; openlyconfess error","            RE (again) + CANT (cannot) = ""I have told you this AGAIN and AGAIN, it CANNOT be done, it has been REJECTED.""            ","            re + chant(sing): singing/telling  again. what??telling what i told earlier is wrong wrong!!            ","            re+cant telling that it cant which means it is wrong and DISAVOWED, DISCLAIMED            "
Recluse,hermit; loner,            re+close . Closed=hermit            ,            recLUSE : read luse as lose ; if u lose in  any game u like to live alone            ,            sounds like seclude            
Recondite,abstruse; profound; secret,"            read recondite as ""re conduct"". The professor re coducted(repeated) the topic as the students could not understand properly.            ",Powered by Mnemonic Dictionary            recon-dite:recon sounds like reckon which means guess...if a question is DIFFICULT TO UNDERSTAND u will GUESS the answer            ,            RECKON + TRITE (repeated) = the word was DIFFICULT TO UNDERSTAND even after REPEATED attempts to RECKON its meaning.             
Refractory,stubborn; unmanageable,"Powered by Mnemonic Dictionary            refractory--means factor  ,who always factors the law into piece,means don't follow the law.            ",            one who doesn't refract or bend at all meaning stubborn            ,            Remember SATISFACTORY....REFRACTORY can br the OPPOSITE of SATISFACTORY            
Refute,disprove,"            refute rhymes with refuse, when you  DISAPPROVE OF something, or if something is false or incorrect..you refute it or disapprove..            ",            Refute can be considered as REFusing something to have trUTh or prove to be false/incorrect            ,            'are fut' - means to overthrow by argument             
Relegate,banish to an inferior position; delegate; assign,"            relegate..split it like rele(relatives+gate)your relatives are crying at THE GATE because you are not allowing them to enter your house, you have put them in a worse place i.e the GATE WHICH IS ALMOST LIKE A FOOTPATH.            ","Powered by Mnemonic Dictionary            divide it like rail+gate. Earlier station Master is now appointed as a watcher of rail gate. so, in worse position.            ",            Being a delegate is an important position. Take care of it. Don't let anyone relegate you.             
Reproach,express disapproval or disappointment,            divide it as re(again..)+proach(..approach).. you ask someone to APPROACH AGAIN & AGAIN since you DISAPPROVE OF HIS WORK..(eg during submissions)            ,"            If u see a cockRROACH, u express disapproval!            ","            RE + POACH (killing animals).. Sallu (Salman Khan) is killing Chinkara again and again. You express DISAPPROVAL and DISSAPOINTMENT.He is a total disgrace or shame to INDIA            "
Reprobate,person hardened in sin; devoid of a sense of decency,            reprobate: rep(repeatedly)+rob+ate.. a person who again and again robs other peoples food and eats it up has no moral values.            ,            reprobate is a person who has no probity            ,Powered by Mnemonic Dictionary            rape+rob+ate...change ate to eat...a person does unscrupulous things like this...hardened in sin..rep-rob-ate            
Repudiate,disown; disavow,"            he ate the PUDDING AGAIN.. When his mother asked him if he ate the pudding, he tried to REPUDIATE (deny eating it)... :)            ",            re(reject....)+pudi...(pudding..a sweet dish given after meal)...ate......past participle of eat.....well anyone who reject to eat a cake pudding            ,            repud(refused)+iate(to eat) = refused to take  anymore or acknowledge            
Rescind,cancel,"            rescind reminds us of ""resign"", where resign is to cancel your appointment and rescind is to cancel an agreement.            ",Powered by Mnemonic Dictionary            chodd na RESEND kon karega cancel kar de            ,            rescind sounds like resend. So you cancel and an official doc and resend for correction.            
Resolution,Determination,"            resolution reminds me of revolution, so during American Revolution, America determined to win.            ",            when prof. blame raju that he copied the solution..he gave a resolution....he said i am determined about my solution sir.....he is firm in his response            ,"            Wanna REconsider the SOLUTION?... NO,NO,NO… implies a determination...            "
Reticent,reserved; uncommunicative; inclined to silence,Powered by Mnemonic Dictionary            Cent (Saint) is stereotypically reluctant to speak or draw attention to themselves.            ,"            50Cent -> talks too much..on the contrary..reticent-> talk less            ",            REHTA+SHANT....shant rehne waal i.e a person who doesn't talk or who is reserved in speech....             
Reverent,respectful; worshipful,            reverent-divide as river end i.e we bath in the rivr end as a part of worship            ,            Reverent sounds like Reverend(Priest) now think of the feeling most people have for them.            ,"            RE-> Real + VE-> Veneration ie. Real Veneration or ""great respect""            "
Sage,person celebrated for wisdom,"            If one knows meaning of saga,dat is any legend,one can easily remember sage.a saga will b a wise person,sensible.            ","            who has ""usage"" ? of course sage person. you can use his/her experiences.hence sage has usage            ",            S + AGE... a wise aged man(your grandpa)..            
Salubrious,healthful,            (related to bollywood)remember salman khan........all health and all.......            ,            SALUBRIOUS and NUTRITIOUS are rhyming words which describe something that is healthy or health-giving.            ,"            SALory+U+BRIng+USthen happy&healthful            "
Sanction,approve; ratify,            u can read it like sanction ~~ SANG SONG so u sing song when u have been approved or accepted it's like being approved to USA..             ,"            I- SAY-ACTION, slang for I give you permission            ",Powered by Mnemonic Dictionary            SANCTION or PERMISSION or AUTHORISATION - to get the authority to do something.             
Satiate,satisfy fully,            I SAT & ATE till I was full!            ,"            remember with s-ate, so when we have completed our food,we are satisfied to full..(pet bhar kar khaana)             ",            SATIATE - The greedy glutton SAT and ATE and ATE and OVER ATE until there was no food left at all.            
Savor,"enjoy; have a distinctive flavor, smell, or quality",            SAVOR  and FLAVOR  are rhyming words. You savor (feel the taste) the flavor (taste) of the food you eat.            ,            focus on SAVe+or.if you save your money IN youNG AGE YOU can ENJOY LATER IN FUTURE LIFE- A CLICH..            ,            SAVE+HER .. so u ll ENJOY as u will get a kiss from her . u can also smell and feel her flavor and taste!! LOL!!            
Secrete,"hide away or cache; produce and release a substance into anorganism",            Secret+e which is to be concealed or hidden            ,"            SECRETE and EXCRETE which are rhyming words, mean, to produce and discharge a substance.            ","            It sounds like secretary who hides unnecessary things n tell those things which is needed            "
Shard,"fragment, generally of pottery",            s + hard..it is very HARD to join the broken FRAGMENTS OF POTTERY.            ,            ( visualize SHARaD pawar our head of BCCI---his face is like broken pot.            ,"            Shard - flip 'd' vertically. You get sharP, broken part of pottery and glass are usually sharep.            "
Skeptic,"doubter; person who suspends judgment until havingexamined evidence supporting a point of view","            Skeptic-just remove 'K' -Septic-When a person is Wonded/Injured he always have doubt whether it is going to get septic or not.So he is doubtful.:)            ","            can not ""kept"" things            ","Powered by Mnemonic Dictionary            break it as ""skip for a tick""...tick means right answer..            "
Solicitous,worried; concerned,"Powered by Mnemonic Dictionary            Solicit means to request earnestly for something, but if you have to wait for it to happen then you are liable to become solicitous.            ",            soli(solo).if u r doin a work on ur own(solo) then u ll do t wit much eager and care            ,"            SOLO+SIT !!QUESTION: WHEN DO YOU SIT ALONE??? ANSWER: WHEN YOU ARE WITH FULL OF ""ANXIETY AND CONCERN"" ABOUT YOUR CHILD WHO IS IN ""US""..SOLICITOUS            "
Soporific,sleep-causing; marked by sleepiness,            (in hindi) 100(soo) puri kha kar I felt soporific.            ,"            watching ""SOaP Operas"" makes u sleepy            ",            so poor fiction makes u sleepy            
Specious,seemingly reasonable but incorrect; misleading (often,"            It sounds like 'suspicious'.            ","            Like the movie ""Species"" about an alien woman who looks human but has other plans            ","            Seemingly true/plausible/attractive, but when SPECulated closely, it was found to be fallaCIOUS.            "
Sporadic,occurring irregularly,"Powered by Mnemonic Dictionary            sporadic== opposite of periodic, we know periodic things occur regularly.            ","            Take the first half of the word, i.e SPOR which sounds like pores. Pimples which OCCUR IRREGULARLY create pores in the skin.            ","            sporadic..spora(spores). spores are cells which grow irregulary,like a media plate when exposed to fungi spores ,next day you will see a irregular growth.            "
Stigma,token of disgrace; brand,"            Stigma (STICK + MAA)Imagine someone hitting his MAA with a STICK. How disgraceful it will  be !!!            ",            Opposite of six sigma which is considered very graceful and good            ,            stigma = sounds like enigma is always disgraceful.            
Stipulate,make express conditions; specify,"            staple+it-- Staple the documents, so that it GUARANTEES that they stay together permanently!            ",            stipules are plant parts present at the base of leaf. additional leaves present along with leaves. similarly STIPULATE is an condition (AGREEMENT) present in the MAIN AGREEMENT. stipulate = agreement in an agreement            ,"            stipulate=steep+lateimagine that you are going for a meeting where you are going to do some verbal agreement with the party but because of steep slope of the route you couldn't reach in time(reached late) at the desired place..            "
Stolid,dull; impassive,"            stone likeIt becomes 'T' SOLID. So someone very SOLID against 'T'(ears) or emo'T'ions.            ","            STOL(sounds like stool)..and a stool is a nonliving thing without any emotion,simillarly a STOLID is like stool without any emotion,always dull and boring.            ",             when you are stolid your face is solid            
Strut,pompous walk,"            rhymes with SLUT - imagine the way she walks...pompous, with head erect and chest thrown out.            ","            Rhymes with straight. For something to be straight, you need a support.            ","            m not spamming guys, its a video on how you strut ure ass. Watch these 2 minutes and enjoy the memory aid            "
Strut,supporting bar,"            rhymes with SLUT - imagine the way she walks...pompous, with head erect and chest thrown out.            ","            Rhymes with straight. For something to be straight, you need a support.            ","            m not spamming guys, its a video on how you strut ure ass. Watch these 2 minutes and enjoy the memory aid            "
Subpoena,writ summoning a witness to appear,"            Its pretty simple... read it as COURT MEIN ""SABOOT POST KARNA""!!!            ","Powered by Mnemonic Dictionary            ounds like SAB+ P + HEY NA ??Here 'P' stands for PRESENT. So court issues a writ confirming SAB P(resent) Hey Na?? if not they have to pay fine. Smile            ","            ""Sub + poena"" in Latin means ""under penalty""The person who's under penalty is required to attend the court hearing. So he's issued a subpoena.            "
Subside,settle down; descend; grow quiet,            imagine there is a violent mob.the police comes to make them settle down.there first dialogue to the mob will be SUB SIDE ho..            ,"Powered by Mnemonic Dictionary            sub pange se side le lena,ie: become less active or intense            ",            compare with subsidy which means reduces             
Supersede,cause to be set aside; replace; make obsolete,"            when a SUPER new thing arrives, we REPLACE /SET ASIDE the old thing because it is OBSOLETE..            ","Powered by Mnemonic Dictionary            super (Latin) = oversedere (Latin) = sit (as in sedentary, sediment etc.,)So, something that sits over another makes the latter obsolete.            ","            A seed is eventually ""replaced"" with a SUPER-seed, because that's better            "
Tacit,understood; not put into words,            tacit ~ take it; imagine you are giving permission to someone to take something from your room...but you didn't say it verbally but via your actions.             ,"            tacit= take + itor you will have to take something which is not expresssed...            ",            Tacit - Change the word to Tact - You  tactfully (with perfection)handled the situation even without expressing it in words (tacit).            
Tangential,peripheral; only slightly connected; digressing,"            Word Tangent(ial) taken from maths. A tangent is a line that touches a circle with a 90`degree angle. So the meaning comes from there only slightly connected, not central, preipheral.            ","            Tangential - Take it as Tangent which is Divergent, meaning, scattered or dispersed.            ","            :   a TANGENT  touches a circle at exactly 1 pt, so meaning is SLIGHTLY CONNECTED, after touching circle it moves AWAY FROM NORMAL(PERPENDICULER i.e., radius), so AWAY FORM NORMAL OR CORRECT PATH            "
Tenuous,thin; rare; slim,"            this word sound very close to TENNIS....and most of the female TENNIS PLAYERS ARE VERY SLIM AND THIN...             ","            TENUOUS can be split as TEN+US,so TEN of us goin to USa together,the chances are very SLIM and it'll be a RARITY            ",            Tenuous comes from Attenuate. Attenuate means to make thin.             
Tirade,extended scolding; denunciation; harangue,            sounds like tired.. your mom gets tired after a TIRADE..i.e. LONG ANGRY DENUNCIATORY SPEECH..            ,"            In Trading job, if something goes wrong, they will scold you            ",Powered by Mnemonic Dictionary            papa made the rade of evening tea by tirade .(tea+rade)            
Torpor,lethargy; sluggishness; dormancy,"            Well its quite opposite to what is a topper who is naturallydiligent            ",            tor-por....TORRENT PAR..........TORRENT PAR most of the seeders were INACTIVE due to which downloading the movie becomes a SLUGGISH task....            ,"            RAJ THAKERY TO MNS PEOPLE..""aaj tum sab itne LATHARGIC,SLUGGISH kyu lag rahe ho? hume kal THOD PHOD karne jana hai...yaad hai na?"",,,,,,,,:)            "
Tortuous,winding; full of curves,            a tortoise does not move in straight line... it keeps twisting and turning making path complicated.            ,            tortuous - torque(twisting)uous: full of twisting            ,Powered by Mnemonic Dictionary            TORTUre fOr US to follow            
Tractable,docile; easily managed,"            Tractable sounds like tractor ,which makes it easy to manage a field .            ",            It is easy to 'Trace' a 'Table' in a house. So it is easily managable.            ,"            tractable:means someone can be put into track easily, thus easily managable            "
Transgression,violation of a law; sin,Powered by Mnemonic Dictionary            Trans + aggression....imagine the army of Pakistan aggressively crossing the Line of Control (LOC) and hence violating the law trans(=across) border.            ,            take it this way..train aggression ..so aggression in train is against the law!!!            ,"            (transcribe + gre) transcribe means copy, so copyin in gre is a violation of law            "
Truculence,aggressiveness; ferocity,"            truc(sound like truck) + cull(means to kill animals) + ance(hence).. the truck driver culled some of the animal while driving, hence the villagers are angry with him and are agressively barring him from entering the village.            ",            sounds like turbulent means property of being wild i.e. showing aggressiveness.             ,"            A truculent person will tell you to ""TRUCK"" off            "
Vacillate,waver; fluctuate,            sounds like OScillate..so something which moves from one position to another position.            ,            vacillate=VACI bhi bahut LATE ho gaya hai.....now u dont VACILLATE between what you gonna wear for the party..........;)            ,            things refers to oscillation where as feelings refers to VACILLATion            
Venerate,revere,            ven(..when)U RATE someone higher.. you TREAT THEM WITH RESPECT .            ,Powered by Mnemonic Dictionary            vanar who ate the mountain - hanuman - we revere him            ,"            venerate is like( V RATE) u know if channel v rates somebody it would be idolized, adorable or respected personality            "
Veracious,truthful,"            the root word 'VER' refers to true.. hence we can frame words like:veracious - truthful and verisimilitude - an appearence of truth.            ",            VERAcious...VEERA always tells truth :)            ,            Mendacious is the opposite of veracious. Mendacious is falsehood and veracious means truthful.            
Verbose,wordy,            VER for verbal BOSE for boss; so you may say that your boss is excessively verbal.             ,Powered by Mnemonic Dictionary            verb + ose ..hence can be related to verbal and hence word            ,"            relate it to ""Verbal"",as verballywe go for words to convey our msg,so verbose is with lots ofwords(wordy)            "
Viable,practical or workable,            SURVIVABLE ! got it?            ,            vi(VIV=LIFE) + ABLE....so some one who is ABLE to live his LIFE.            ,"            via = through or way.... , able = possible..... so its something possible by a certain way or not! :)             "
Volatile,changeable; explosive; evaporation rapidly,"            volatile memory is a computer memory which gets erased when power is turned off, i.e., changed suddenly like RAM, so VOLATILE means Lliable tochange            ",Powered by Mnemonic Dictionary            Think: Vola (volume)-tile (vile)... The VOLUME of the liquid in the VILE changed quickly into a vapor.            ,"            Volatile and ethereal...both mean light, delicate.            "
Wary,very cautious,Powered by Mnemonic Dictionary            Wary and worry sound the same... you become wary (cautious) if you have too many worries in life.            ,            WAtch out caRyfullY = WARY            ,            WARY = WAR+ARmY - in case of WAR ARmY has to be on alert.            
Welter,turmoil; bewildering jumble,"            I would remember it as 'world tour'.so you are planning for a world tour, but 'confused' as where to start from, because there are quite a lot countries to be covered.Hence 'confused due to multiple things'.            ",            I fell into a WELL of TAR to get drenched and entangled in it.            ,            WHEN PRONOUNCED sounds like WET in WATER....SO WHEN you went to visit sunder bans you suddently fell into mud thus you became wet due to muddy water.            
Whimsical,capricious; fanciful,"            Whimsical sounds like comical...whimsical is , impulsive, playful...comical is amusing and funny.            ","            whim sounds like vim bar for washing dishes , vim used for changing dirty dishes to new .so            ","            Whimsical = WHISTLE.. when u c  a gal u whistle.. dats behave with impulse rather den reasoning.            "
Zealot,fanatic; person who shows excessive zeal,"            zealot -- zeal + lot one who shows a lot of zeal....            ",            zealot -- zeal + lot a person possessing a lot of zeal            ,"            Zealot is like bigot... a bigot is a person who is intolerant to differing views, is prejudiced            "
